,Date,Sex,Age
0,2014.0,,
1,2012.0,Male,45.0
2,2013.0,Male,30.0
3,2014.0,Male,27.0
4,2012.0,Male,21.0
5,2013.0,Male,25.0
6,2014.0,Male,67.0
7,2012.0,Female,32.0
8,2015.0,Male,61.0
9,2013.0,Male,37.0
10,2015.0,Male,59.0
11,2014.0,Male,22.0
12,2015.0,Male,38.0
13,2013.0,Male,40.0
14,2012.0,Male,71.0
15,2015.0,Female,54.0
16,2014.0,Female,52.0
17,2013.0,Male,55.0
18,2013.0,Female,44.0
19,2015.0,Male,26.0
20,2015.0,Male,18.0
21,2012.0,Male,36.0
22,2015.0,Male,53.0
23,2015.0,Male,61.0
24,2013.0,Male,29.0
25,2013.0,Male,48.0
26,2013.0,Male,50.0
27,2013.0,Female,49.0
28,2012.0,Female,26.0
29,2015.0,Male,53.0
30,2012.0,Male,29.0
31,2012.0,Male,64.0
32,2013.0,Female,49.0
33,2013.0,Male,35.0
34,2014.0,Male,27.0
35,2014.0,Male,62.0
36,2015.0,Female,21.0
37,2013.0,Female,46.0
38,2014.0,Female,27.0
39,2015.0,Male,31.0
40,2014.0,Male,53.0
41,2012.0,Male,58.0
42,2013.0,Male,39.0
43,2013.0,Female,46.0
44,2014.0,Male,41.0
45,2012.0,Female,47.0
46,2013.0,Male,64.0
47,2013.0,Female,37.0
48,2015.0,Male,29.0
49,2015.0,Male,35.0
50,2015.0,Male,40.0
51,2013.0,Male,44.0
52,2015.0,Female,49.0
53,2014.0,Male,45.0
54,2013.0,Male,44.0
55,2014.0,Male,43.0
56,2014.0,Female,23.0
57,2013.0,Female,56.0
58,2015.0,Female,72.0
59,2015.0,Male,35.0
60,2012.0,Female,54.0
61,2013.0,Female,26.0
62,2015.0,Male,32.0
63,2014.0,Male,29.0
64,2015.0,Male,59.0
65,2013.0,Male,29.0
66,2013.0,Male,49.0
67,2012.0,Male,28.0
68,2014.0,Male,60.0
69,2012.0,Male,23.0
70,2015.0,Male,40.0
71,2012.0,Male,48.0
72,2014.0,Female,61.0
73,2014.0,Male,24.0
74,2015.0,Female,59.0
75,2015.0,Female,51.0
76,2015.0,Male,49.0
77,2014.0,Male,26.0
78,2014.0,Male,51.0
79,2015.0,Female,48.0
80,2015.0,Male,55.0
81,2013.0,Female,26.0
82,2012.0,Male,26.0
83,2014.0,Male,61.0
84,2015.0,Female,55.0
85,2013.0,Male,40.0
86,2013.0,Female,29.0
87,2015.0,Male,24.0
88,2013.0,Male,29.0
89,2014.0,Male,37.0
90,2012.0,Female,44.0
91,2014.0,Male,40.0
92,2015.0,Male,57.0
93,2013.0,Female,43.0
94,2014.0,Female,51.0
95,2013.0,Male,30.0
96,2015.0,Male,37.0
97,2012.0,Female,59.0
98,2012.0,Male,58.0
99,2012.0,Male,73.0
100,2014.0,Male,45.0
101,2012.0,Male,39.0
102,2015.0,Female,37.0
103,2015.0,Female,43.0
104,2015.0,Male,21.0
105,2015.0,Female,37.0
106,2012.0,Male,47.0
107,2015.0,Male,45.0
108,2014.0,Female,53.0
109,2013.0,Male,59.0
110,2015.0,Male,51.0
111,2012.0,Male,50.0
112,2013.0,Female,40.0
113,2014.0,Female,56.0
114,2015.0,Male,62.0
115,2014.0,Male,53.0
116,2013.0,Male,32.0
117,2015.0,Male,32.0
118,2013.0,Male,51.0
119,2013.0,Male,56.0
120,2015.0,Male,59.0
121,2013.0,Female,26.0
122,2015.0,Male,50.0
123,2015.0,Female,37.0
124,2013.0,Female,26.0
125,2015.0,Female,38.0
126,2013.0,Male,45.0
127,2013.0,Male,28.0
128,2013.0,Male,42.0
129,2014.0,Male,38.0
130,2015.0,Male,25.0
131,2012.0,Male,25.0
132,2013.0,Male,22.0
133,2012.0,Male,52.0
134,2014.0,Female,50.0
135,2014.0,Male,44.0
136,2012.0,Female,48.0
137,2015.0,Male,24.0
138,2015.0,Male,60.0
139,2013.0,Male,61.0
140,2013.0,Female,37.0
141,2012.0,Male,23.0
142,2012.0,Female,70.0
143,2013.0,Female,30.0
144,2013.0,Male,23.0
145,2012.0,Female,45.0
146,2012.0,Male,49.0
147,2014.0,Male,39.0
148,2014.0,Male,34.0
149,2015.0,Male,23.0
150,2015.0,Female,59.0
151,2014.0,Male,55.0
152,2014.0,Male,35.0
153,2013.0,Male,47.0
154,2014.0,Female,43.0
155,2014.0,Male,54.0
156,2013.0,Male,37.0
157,2012.0,Male,51.0
158,2014.0,Female,29.0
159,2014.0,Female,24.0
160,2015.0,Male,57.0
161,2013.0,Male,55.0
162,2015.0,Male,35.0
163,2013.0,Female,61.0
164,2014.0,Male,41.0
165,2012.0,Male,58.0
166,2013.0,Male,53.0
167,2014.0,Male,31.0
168,2013.0,Female,24.0
169,2014.0,Male,42.0
170,2015.0,Female,50.0
171,2013.0,Male,40.0
172,2013.0,Male,61.0
173,2015.0,Male,20.0
174,2014.0,Female,40.0
175,2014.0,Male,49.0
176,2012.0,Male,42.0
177,2013.0,Female,36.0
178,2013.0,Male,42.0
179,2013.0,Male,30.0
180,2015.0,Female,57.0
181,2013.0,Male,58.0
182,2012.0,Male,36.0
183,2012.0,Male,39.0
184,2014.0,Male,46.0
185,2014.0,Male,27.0
186,2013.0,Female,42.0
187,2014.0,Male,57.0
188,2014.0,Female,52.0
189,2014.0,Male,35.0
190,2015.0,Male,24.0
191,2015.0,Male,58.0
192,2014.0,Male,43.0
193,2013.0,Male,24.0
194,2014.0,Female,29.0
195,2015.0,Male,56.0
196,2013.0,Female,51.0
197,2013.0,Male,46.0
198,2012.0,Male,49.0
199,2015.0,Female,55.0
200,2013.0,Male,38.0
201,2015.0,Male,26.0
202,2012.0,Male,29.0
203,2012.0,Female,35.0
204,2015.0,Female,60.0
205,2014.0,Male,33.0
206,2014.0,Male,50.0
207,2013.0,Female,36.0
208,2015.0,Female,27.0
209,2015.0,Male,31.0
210,2015.0,Male,51.0
211,2013.0,Male,29.0
212,2013.0,Male,25.0
213,2013.0,Female,41.0
214,2015.0,Male,27.0
215,2012.0,Male,31.0
216,2013.0,Male,48.0
217,2013.0,Male,34.0
218,2012.0,Male,47.0
219,2014.0,Female,38.0
220,2012.0,Female,53.0
221,2014.0,Female,49.0
222,2012.0,Male,39.0
223,2013.0,Male,40.0
224,2015.0,Male,31.0
225,2015.0,Male,49.0
226,2014.0,Female,49.0
227,2014.0,Female,26.0
228,2013.0,Male,23.0
229,2015.0,Female,26.0
230,2013.0,Male,50.0
231,2015.0,Male,49.0
232,2014.0,Male,26.0
233,2015.0,Male,36.0
234,2012.0,Female,46.0
235,2014.0,Male,43.0
236,2013.0,Male,26.0
237,2012.0,Male,54.0
238,2012.0,Male,39.0
239,2014.0,Male,46.0
240,2014.0,Female,44.0
241,2014.0,Female,21.0
242,2015.0,Male,26.0
243,2013.0,Male,56.0
244,2015.0,Female,56.0
245,2014.0,Female,32.0
246,2013.0,Male,61.0
247,2012.0,Male,28.0
248,2014.0,Female,33.0
249,2015.0,Male,46.0
250,2015.0,Male,51.0
251,2015.0,Male,28.0
252,2013.0,Male,27.0
253,2012.0,Female,46.0
254,2013.0,Male,54.0
255,2015.0,Female,43.0
256,2015.0,Female,22.0
257,2015.0,Female,58.0
258,2015.0,Male,34.0
259,2015.0,Female,39.0
260,2015.0,Male,60.0
261,2014.0,Male,29.0
262,2012.0,Female,51.0
263,2015.0,Male,33.0
264,2015.0,Female,59.0
265,2012.0,Male,42.0
266,2012.0,Male,37.0
267,2015.0,Male,38.0
268,2014.0,Male,59.0
269,2014.0,Male,26.0
270,2015.0,Male,21.0
271,2012.0,Male,45.0
272,2013.0,Female,31.0
273,2015.0,Female,49.0
274,2012.0,Male,44.0
275,2014.0,Female,56.0
276,2015.0,Male,47.0
277,2015.0,Female,28.0
278,2014.0,Male,62.0
279,2015.0,Female,58.0
280,2012.0,Male,30.0
281,2014.0,Female,35.0
282,2013.0,Male,55.0
283,2013.0,Male,42.0
284,2014.0,Male,30.0
285,2012.0,Female,57.0
286,2012.0,Male,61.0
287,2015.0,Female,45.0
288,2014.0,Male,62.0
289,2015.0,Female,41.0
290,2014.0,Male,29.0
291,2015.0,Male,51.0
292,2013.0,Male,48.0
293,2012.0,Male,32.0
294,2015.0,Female,35.0
295,2012.0,Male,30.0
296,2013.0,Male,63.0
297,2015.0,Male,36.0
298,2014.0,Male,40.0
299,2014.0,Male,41.0
300,2015.0,Female,51.0
301,2014.0,Female,72.0
302,2015.0,Female,49.0
303,2012.0,Female,52.0
304,2014.0,Female,29.0
305,2013.0,Male,56.0
306,2013.0,Female,34.0
307,2014.0,Female,29.0
308,2015.0,Male,35.0
309,2015.0,Female,40.0
310,2014.0,Male,30.0
311,2014.0,Female,43.0
312,2014.0,Male,41.0
313,2012.0,Male,47.0
314,2013.0,Male,58.0
315,2012.0,Male,55.0
316,2013.0,Male,56.0
317,2014.0,Male,44.0
318,2015.0,Male,21.0
319,2013.0,Female,44.0
320,2015.0,Male,71.0
321,2014.0,Male,42.0
322,2013.0,Male,36.0
323,2012.0,Male,32.0
324,2013.0,Female,40.0
325,2012.0,Male,30.0
326,2015.0,Male,35.0
327,2013.0,Male,60.0
328,2015.0,Male,26.0
329,2015.0,Male,60.0
330,2014.0,Female,49.0
331,2013.0,Female,67.0
332,2014.0,Male,54.0
333,2014.0,Female,23.0
334,2013.0,Female,45.0
335,2015.0,Male,39.0
336,2014.0,Male,34.0
337,2015.0,Female,52.0
338,2015.0,Male,53.0
339,2012.0,Male,24.0
340,2012.0,Male,58.0
341,2014.0,Female,26.0
342,2014.0,Male,42.0
343,2015.0,Male,64.0
344,2012.0,Male,22.0
345,2014.0,Male,52.0
346,2015.0,Male,48.0
347,2014.0,Female,47.0
348,2015.0,Male,29.0
349,2015.0,Male,51.0
350,2014.0,Male,48.0
351,2012.0,Male,22.0
352,2013.0,Male,59.0
353,2012.0,Female,45.0
354,2012.0,Female,58.0
355,2015.0,Male,32.0
356,2015.0,Male,50.0
357,2013.0,Male,53.0
358,2013.0,Male,41.0
359,2014.0,Male,55.0
360,2012.0,Male,34.0
361,2014.0,Male,27.0
362,2012.0,Male,49.0
363,2014.0,Male,28.0
364,2012.0,Male,32.0
365,2013.0,Male,56.0
366,2013.0,Female,46.0
367,2014.0,Female,20.0
368,2014.0,Male,44.0
369,2013.0,Male,47.0
370,2013.0,Male,44.0
371,2015.0,Male,36.0
372,2015.0,Male,21.0
373,2015.0,Male,30.0
374,2012.0,Female,45.0
375,2013.0,Male,46.0
376,2013.0,Male,51.0
377,2014.0,Male,51.0
378,2014.0,Male,28.0
379,2013.0,Male,30.0
380,2012.0,Male,53.0
381,2015.0,Male,24.0
382,2013.0,Male,45.0
383,2015.0,Male,22.0
384,2012.0,Male,20.0
385,2013.0,Female,56.0
386,2012.0,Female,24.0
387,2012.0,Male,29.0
388,2015.0,Male,69.0
389,2015.0,Male,46.0
390,2014.0,Male,44.0
391,2015.0,Female,28.0
392,2013.0,Female,27.0
393,2012.0,Male,44.0
394,2013.0,Male,49.0
395,2015.0,Female,35.0
396,2015.0,Male,55.0
397,2014.0,Male,47.0
398,2012.0,Male,26.0
399,2014.0,Female,52.0
400,2015.0,Male,52.0
401,2015.0,Male,52.0
402,2013.0,Male,60.0
403,2012.0,Male,63.0
404,2012.0,Male,67.0
405,2014.0,Male,42.0
406,2015.0,Male,37.0
407,2014.0,Male,46.0
408,2014.0,Male,37.0
409,2015.0,Male,38.0
410,2013.0,Female,58.0
411,2015.0,Female,33.0
412,2015.0,Male,47.0
413,2015.0,Male,38.0
414,2013.0,Male,40.0
415,2012.0,Male,40.0
416,2013.0,Male,42.0
417,2013.0,Male,41.0
418,2014.0,Female,24.0
419,2013.0,Male,30.0
420,2012.0,Female,52.0
421,2014.0,Male,33.0
422,2015.0,Male,29.0
423,2015.0,Female,57.0
424,2015.0,Male,29.0
425,2013.0,Male,23.0
426,2015.0,Male,35.0
427,2014.0,Female,37.0
428,2015.0,Male,24.0
429,2014.0,Male,35.0
430,2015.0,Male,39.0
431,2013.0,Female,56.0
432,2013.0,Female,58.0
433,2014.0,Female,37.0
434,2012.0,Female,40.0
435,2015.0,Female,36.0
436,2013.0,Female,25.0
437,2014.0,Male,46.0
438,2013.0,Female,37.0
439,2012.0,Male,38.0
440,2013.0,Male,48.0
441,2015.0,Male,38.0
442,2015.0,Female,57.0
443,2013.0,Male,29.0
444,2014.0,Male,22.0
445,2015.0,Male,35.0
446,2012.0,Male,60.0
447,2014.0,Male,45.0
448,2014.0,Male,57.0
449,2012.0,Male,33.0
450,2013.0,Male,44.0
451,2015.0,Male,50.0
452,2012.0,Male,43.0
453,2012.0,Male,49.0
454,2015.0,Male,52.0
455,2014.0,Male,29.0
456,2013.0,Female,26.0
457,2015.0,Female,58.0
458,2015.0,Male,30.0
459,2014.0,Male,23.0
460,2014.0,Male,41.0
461,2014.0,Female,47.0
462,2012.0,Male,29.0
463,2012.0,Male,49.0
464,2013.0,Male,29.0
465,2012.0,Male,34.0
466,2012.0,Male,29.0
467,2014.0,Male,35.0
468,2013.0,Female,40.0
469,2012.0,Female,51.0
470,2015.0,Male,63.0
471,2014.0,Male,37.0
472,2012.0,Male,24.0
473,2013.0,Female,60.0
474,2013.0,Male,30.0
475,2014.0,Female,48.0
476,2012.0,Male,49.0
477,2014.0,Female,30.0
478,2012.0,Male,41.0
479,2015.0,Male,31.0
480,2014.0,Male,50.0
481,2014.0,Male,52.0
482,2013.0,Male,57.0
483,2014.0,Male,64.0
484,2014.0,Male,32.0
485,2014.0,Male,56.0
486,2015.0,Male,43.0
487,2013.0,Male,44.0
488,2014.0,Male,59.0
489,2012.0,Female,53.0
490,2015.0,Female,25.0
491,2013.0,Male,40.0
492,2014.0,Female,57.0
493,2015.0,Male,55.0
494,2014.0,Male,25.0
495,2015.0,Male,24.0
496,2014.0,Male,17.0
497,2014.0,Female,51.0
498,2013.0,Female,45.0
499,2012.0,Male,26.0
500,2015.0,Male,53.0
501,2012.0,Male,35.0
502,2012.0,Male,31.0
503,2015.0,Male,54.0
504,2015.0,Male,49.0
505,2013.0,Female,41.0
506,2012.0,Male,58.0
507,2014.0,Male,28.0
508,2014.0,Male,34.0
509,2013.0,Male,29.0
510,2015.0,Female,41.0
511,2014.0,Male,54.0
512,2014.0,Female,14.0
513,2014.0,Male,26.0
514,2014.0,Male,49.0
515,2015.0,Male,53.0
516,2014.0,Male,24.0
517,2013.0,Female,51.0
518,2014.0,Male,50.0
519,2013.0,Male,56.0
520,2015.0,Male,55.0
521,2013.0,Male,58.0
522,2013.0,Male,29.0
523,2014.0,Male,48.0
524,2014.0,Male,23.0
525,2012.0,Female,50.0
526,2013.0,Male,65.0
527,2014.0,Male,42.0
528,2013.0,Male,25.0
529,2015.0,Male,68.0
530,2013.0,Male,20.0
531,2015.0,Female,40.0
532,2014.0,Female,47.0
533,2014.0,Male,49.0
534,2013.0,Male,31.0
535,2013.0,Male,26.0
536,2013.0,Male,27.0
537,2014.0,Male,58.0
538,2012.0,Male,37.0
539,2013.0,Male,31.0
540,2013.0,Male,45.0
541,2013.0,Male,52.0
542,2014.0,Female,44.0
543,2015.0,Male,44.0
544,2014.0,Male,39.0
545,2013.0,Female,48.0
546,2014.0,Female,19.0
547,2013.0,Male,29.0
548,2013.0,Female,44.0
549,2015.0,Male,52.0
550,2015.0,Male,20.0
551,2012.0,Female,47.0
552,2015.0,Male,26.0
553,2013.0,Male,39.0
554,2012.0,Male,44.0
555,2015.0,Male,51.0
556,2014.0,Female,49.0
557,2013.0,Female,30.0
558,2012.0,Male,21.0
559,2014.0,Male,48.0
560,2014.0,Male,42.0
561,2013.0,Male,56.0
562,2014.0,Male,43.0
563,2015.0,Female,38.0
564,2013.0,Male,33.0
565,2012.0,Male,43.0
566,2015.0,Male,59.0
567,2013.0,Female,48.0
568,2012.0,Female,38.0
569,2012.0,Male,18.0
570,2013.0,Male,44.0
571,2015.0,Female,55.0
572,2012.0,Male,21.0
573,2015.0,Male,56.0
574,2014.0,Male,57.0
575,2015.0,Male,53.0
576,2014.0,Male,44.0
577,2014.0,Male,24.0
578,2012.0,Female,38.0
579,2013.0,Male,43.0
580,2014.0,Female,54.0
581,2013.0,Female,58.0
582,2015.0,Male,24.0
583,2012.0,Female,59.0
584,2015.0,Male,41.0
585,2012.0,Male,40.0
586,2014.0,Female,49.0
587,2014.0,Male,36.0
588,2014.0,Male,32.0
589,2012.0,Male,30.0
590,2012.0,Male,47.0
591,2014.0,Male,53.0
592,2012.0,Male,52.0
593,2013.0,Male,19.0
594,2014.0,Female,65.0
595,2013.0,Male,39.0
596,2014.0,Male,51.0
597,2014.0,Male,36.0
598,2012.0,Male,50.0
599,2014.0,Male,41.0
600,2014.0,Male,35.0
601,2015.0,Male,48.0
602,2015.0,Male,35.0
603,2014.0,Female,36.0
604,2012.0,Male,44.0
605,2013.0,Male,66.0
606,2015.0,Male,28.0
607,2014.0,Female,45.0
608,2015.0,Female,33.0
609,2012.0,Male,20.0
610,2015.0,Male,44.0
611,2015.0,Male,29.0
612,2015.0,Male,42.0
613,2012.0,Male,55.0
614,2014.0,Male,42.0
615,2014.0,Male,70.0
616,2015.0,Male,55.0
617,2013.0,Male,43.0
618,2012.0,Male,51.0
619,2014.0,Male,35.0
620,2013.0,Male,32.0
621,2015.0,Male,52.0
622,2015.0,Male,63.0
623,2015.0,Male,54.0
624,2015.0,Male,35.0
